un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
488,none,gun-deaths,71.476,31.724,0,0,0
497,none,carbon-clock,33.291,31.567,0,0,0
496,int,carbon-clock,65.889,28.452,128,3,11
491,int,us-healthcare,220.293,112.893,258,12,0
498,all,gun-deaths,103.002,0,0,0,0
504,int,us-healthcare,104.348,44.202,10,11,0
501,none,gun-deaths,56.138,42.761,0,0,0
501,none,gun-deaths,9.626,0.198,0,0,0
501,none,gun-deaths,13.779,4.949,0,0,0
510,all,carbon-clock,192.49,128.614,224,5,47
499,story,gun-deaths,214.624,23.944,0,0,0
508,int,measles,282.8,196.442,134,13,0
512,int,carbon-clock,38.883,22.387,508,4,8
516,int,gun-deaths,74.965,5.97,0,10,0
492,none,us-healthcare,641.204,0,0,0,0
502,all,us-healthcare,54.998,19.81,4,7,0
503,story,us-healthcare,242.37,24.457,28,0,0
528,int,carbon-clock,54.285,0,0,8,17
521,none,us-healthcare,131.756,75.468,0,0,0
519,story,us-healthcare,127.205,0,0,0,0
522,all,measles,112.799,0,0,0,0
511,story,carbon-clock,371.967,18.365,388,0,0
523,story,measles,189.453,120.398,0,0,0
529,none,carbon-clock,158.196,0.283,0,0,0
530,all,gun-deaths,167.749,23.324,0,0,0
536,int,us-healthcare,46.935,1.051,2,0,0
526,all,carbon-clock,257.774,63.962,29,6,26
524,int,measles,284.249,131.09,49,18,0
537,none,us-healthcare,176.972,105.724,0,0,0
507,story,measles,653.203,508.438,0,0,0
509,none,measles,419.409,265.486,0,0,0
539,story,measles,203.118,99.534,0,0,0
527,story,carbon-clock,227.816,215.054,59,0,0
536,int,us-healthcare,358.24,208.867,260,32,0
538,all,measles,347.916,178.78,0,8,0
545,int,us-healthcare,168.063,81.068,52,9,0
543,story,carbon-clock,150.581,14.192,36,0,0
538,all,measles,403.376,178.78,0,8,0
538,all,measles,412.827,180.761,0,8,0
538,all,measles,413.065,180.761,0,8,0
549,int,measles,154.995,129.479,170,16,0
551,all,carbon-clock,92.307,0,0,0,0
538,all,measles,425.605,181.31,0,8,0
538,all,measles,425.753,181.31,0,8,0
548,story,measles,203.556,82.945,0,0,0
551,all,carbon-clock,7.4,0,0,0,0
553,int,carbon-clock,129.605,36.16,15,6,175
520,int,us-healthcare,288.496,64.132,157,0,0
556,story,gun-deaths,147.86,4.889,0,0,0
552,story,carbon-clock,269.111,210.681,3157,0,0
555,all,gun-deaths,80.322,51.083,0,0,0
554,none,carbon-clock,139.979,120.865,0,0,0
562,none,us-healthcare,46.463,35.638,0,0,0
567,all,carbon-clock,26.938,0,0,0,2
569,int,carbon-clock,45.328,22.85,163,3,146
563,all,measles,208.997,136.737,0,2,0
559,all,us-healthcare,272.952,112.51,59,8,0
565,int,measles,216.668,98.236,92,7,0
578,none,us-healthcare,78.5,0,0,0,0
575,all,us-healthcare,127.951,104.539,33,2,0
573,int,gun-deaths,371.959,2.914,0,85,0
571,all,gun-deaths,394.446,269.002,0,9,0
571,all,gun-deaths,394.637,269.002,0,9,0
580,story,measles,198.586,124.432,0,0,0
564,story,measles,70.468,3.366,0,0,0
572,story,gun-deaths,216.783,138.885,0,0,0
583,all,carbon-clock,134.78,106.265,537,0,0
585,int,carbon-clock,98.742,44.998,476,7,61
582,none,measles,305.566,144.985,0,0,0
594,none,gun-deaths,37.811,32.052,0,0,0
597,int,us-healthcare,18.38,0.05,0,0,0
591,all,us-healthcare,110.787,43.991,7,12,0
588,story,gun-deaths,187.233,12.399,0,0,0
592,story,gun-deaths,137.807,78.68,0,0,0
592,story,gun-deaths,138.003,78.68,0,0,0
538,all,measles,27.413,5.865,0,0,0
595,all,us-healthcare,151.981,32.271,78,0,0
598,none,us-healthcare,10.582,3.929,0,0,0
592,story,gun-deaths,44.439,41.216,0,0,0
596,story,us-healthcare,173.692,16.934,41,0,0
579,all,measles,505.719,149.074,0,5,0
606,none,carbon-clock,77.226,61.695,0,0,0
605,int,carbon-clock,117.47,55.799,686,12,219
604,story,carbon-clock,184.779,129.007,393,0,0
608,story,gun-deaths,56.876,42.902,0,0,0
601,int,measles,332.079,145.288,12,10,0
611,all,us-healthcare,142.446,17.291,0,5,0
613,int,us-healthcare,3.716,0,0,0,0
612,story,us-healthcare,155.464,26.518,14,0,0
616,story,measles,100.209,57.514,0,0,0
615,all,measles,167.835,104.782,0,2,0
619,all,carbon-clock,164.708,136.102,25,1,133
621,int,carbon-clock,45.157,8.99,1,0,2
625,int,gun-deaths,28.598,0.567,0,0,0
622,none,carbon-clock,112.805,25.492,0,0,0
629,int,us-healthcare,124.131,35.973,46,0,0
632,story,measles,161.418,69.331,0,0,0
635,all,carbon-clock,139.046,127.76,12,3,148
638,none,carbon-clock,141.367,61.501,0,0,0
637,int,carbon-clock,229.122,113.145,396,9,18
630,none,us-healthcare,434.598,50.144,0,0,0
642,none,gun-deaths,45.592,0,0,0,0
631,all,measles,472.856,286.131,0,15,0
644,story,us-healthcare,118.324,4.744,7,0,0
649,int,measles,71.302,27.115,91,0,0
